id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
18AXbzPzBS8Y3AkgSxzJPb,0.446,0.239,-13.945,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,336453,6
1FTSo4v6BOZH9QxKc3MbVM,0.674,0.789,-6.903,0.0676,0.00178,0.00708,0.0753,0.918,129.802,121160,5
7b4yGtR0rujvLi5EBfKKJ2,0.608,0.768,-9.911,0.0364,0.101,1.41e-06,0.0942,0.748,132.699,211160,5
5FqYA8KfiwsQvyBI4IamnY,0.572,0.835,-6.219,0.0317,0.171,0.000377,0.0702,0.795,129.981,241600,5
1pXgBjIvALm97lDhroan2E,0.588,0.559,-4.849,0.0272,0.128,0.0,0.0977,0.278,123.845,238587,9
5p3JunprHCxClJjOmcLV8G,0.575,0.318,-16.729,0.109,0.683,0.000202,0.0934,0.385,104.522,254173,3
5e3YOg6fIkP0wD5TyxcHOH,0.504,0.918,-3.463,0.0517,0.00164,2.12e-05,0.78,0.539,92.031,294827,7
3qT4bUD1MaWpGrTwcvguhb,0.437,0.864,-7.842,0.0904,0.396,0.0314,0.242,0.749,81.394,295387,5
45Ia1U4KtIjAPPU7Wv1Sea,0.619,0.67,-10.322,0.0353,0.00165,0.0109,0.331,0.777,129.269,211933,5
7wCmS9TTVUcIhRalDYFgPy,0.519,0.441,-14.178,0.0353,0.0204,0.000453,0.076,0.25,81.334,234973,9
44fw7RulJyj7dGIi9qR86N,0.471,0.84,-5.929,0.0319,0.00651,0.000249,0.315,0.892,131.353,264406,5
4KcH1ZRV2W1q7Flq0QqC76,0.385,0.783,-2.533,0.233,0.000269,0.47,0.108,0.902,176.701,134467,0
12yHvSYFXI7PGzNecUvIDu,0.513,0.979,-6.362,0.0425,0.0195,0.0951,0.0906,0.94,152.875,295466,5
1qRA5BS78u3gME0loMl9AA,0.653,0.519,-10.164,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,1
14XWXWv5FoCbFzLksawpEe,0.55,0.722,-11.729,0.0283,0.25,0.0129,0.11,0.716,103.886,434720,6
2RlgNHKcydI9sayD2Df2xp,0.388,0.338,-10.054,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,6
7c1Dar0pIAW7w5TzaGjt9t,0.402,0.597,-9.258,0.0327,0.0385,2.09e-06,0.109,0.496,81.806,287000,4
4MYb7NWLwXNDB7bYs3HeX8,0.493,0.586,-13.916,0.046,0.0202,0.00106,0.102,0.656,113.618,232533,4
5Z8EDau8uNcP1E8JvmfkZe,0.294,0.745,-9.138,0.0461,0.05,0.125,0.676,0.347,134.364,210107,7
003vvx7Niy0yvhvHt4a68B,0.352,0.911,-5.23,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973,4
3uz0O62HqYoyRiWZjS61KK,0.479,0.847,-11.036,0.0984,0.00884,0.000206,0.144,0.317,90.654,228560,4
0pQskrTITgmCMyr85tb9qq,0.486,0.449,-10.298,0.0267,0.166,2.23e-06,0.54,0.549,100.456,254293,7
1nFtiJxYdhtFfFtfXBv06s,0.427,0.201,-13.044,0.0317,0.745,0.263,0.109,0.0668,105.218,232147,3
5jzma6gCzYtKB1DbEwFZKH,0.651,0.801,-7.34,0.0514,0.123,0.0,0.0825,0.776,133.769,200480,5
54X78diSLoUDI3joC2bjMz,0.367,0.452,-10.422,0.0307,0.0353,0.00228,0.689,0.189,113.066,520787,7
21YxK0klhpfLW8budkJaMF,0.383,0.97,-5.638,0.0435,0.0276,0.0,0.0942,0.62,101.603,313926,4
1QaJWSCk3UMKLotnPCIHh1,0.751,0.703,-5.687,0.0287,0.368,0.00123,0.196,0.907,97.931,185960,5
1xKQbqQtQWrtQS47fUJBtl,0.443,0.727,-7.951,0.145,0.263,0.000141,0.169,0.566,160.82,253333,4
5h6SovHOYpIMlAkafxcbq3,0.652,0.94,-7.927,0.0776,0.0398,0.782,0.0567,0.72,91.242,246293,10
4e9hUiLsN4mx61ARosFi7p,0.365,0.924,-7.066,0.0488,0.0144,0.000254,0.423,0.632,135.811,296467,4
5zH710lFSLtkHbMkslLDjR,0.427,0.459,-12.442,0.0332,0.116,0.000103,0.132,0.383,129.878,293440,4
70Z9t1qhytWtG4cCmmi7mU,0.504,0.911,-2.97,0.0738,0.00512,0.0123,0.355,0.671,106.244,179760,5
2aoo2jlRnM3A0NyLQqMN2f,0.438,0.805,-6.237,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800,4
5o37x6LpNSec4jSfPIChsQ,0.595,0.996,-3.418,0.0599,0.195,0.0345,0.0351,0.376,152.049,151107,4
4hq0S6wznq7SHDyMOFXL9i,0.615,0.91,-4.248,0.0347,0.5,0.511,0.281,0.77,111.013,226333,10
6N0AnkdDFZUetw8KAGHV7e,0.373,0.869,-7.719,0.0554,0.164,7.76e-06,0.605,0.696,184.024,221400,7
1KsI8NEeAna8ZIdojI3FiT,0.641,0.894,-7.41,0.0273,0.0857,0.009,0.157,0.972,109.823,199453,5
